Categoria,Codice,Descrizione,Confezione,Prezzo iva esclusa,IVA
119,CP40001,CAFFE' GRANI - STRONG BROWN,Sacchetto da Kg 1,21.31,4
119,CP40002,CAFFE' GRANI - LIGHT PINK,Sacchetto da Kg 1,21.31,4
119,CP40003,CAFFE' 100% ARABICA MACINATO,Lattina da g. 250,5.74,4
120,CP40013,ACETO BALSAMICO ONICE,Bottiglia vetro 250 ml,20,5
121,CP40015,TOPPING LAMPONE,Bottiglia g. 650,7.27,5
121,CP40016,TOPPING FRUTTI DI BOSCO,Bottiglia g. 650,7.27,5
121,CP40017,TOPPING PESCHE AL BRANDY,Bottiglia g. 650,7.27,5
122,CP40018,TOPPING PESCHE AL MIELE,Bottiglia g. 650,6.36,5
121,CP40019,TOPPING FRAGOLA AL MIELE,Bottiglia g. 650,7.27,5
121,CP40020,TOPPING PESCHE AL MIELE,Bottiglia g. 650,7.27,5
121,CP40021,TOPPING CREMALLATTE,Bottiglia g. 650,7.27,5
121,CP40022,TOPPING FRAGOLA DI BOSCO,Bottiglia g. 650,10.91,5
121,CP40023,TOPPING FICO CARAMELLATO,Bottiglia g. 650,7.27,5
122,CP40024,PERE ALLA GRAPPA,Vasetto vetro g. 200,6.82,5
122,CP40025,MELE ALLA GRAPPA,Vasetto vetro g. 200,6.82,5
122,CP40026,FICHI CARAMELLATI,Vasetto vetro g. 200,6.36,5
122,CP40027,FRAGOLE AL MIELE,Vasetto vetro g. 200,6.36,5
123,CP40032,DOLCECREMA LATTE,Vasetto vetro g. 200,6.82,5
122,CP40033,ARANCIA ALL'ACQUAVITE,Vasetto vetro g. 200,6.82,5
122,CP40034,PESCHE AL BRANDY,Vasetto vetro g. 200,6.82,5
121,CP40035,TOPPING MELE ALLA GRAPPA,Bottiglia g. 650,7.27,5
121,CP40036,TOPPING PERE  ALLA GRAPPA,Bottiglia g. 650,7.27,5
124,CP40037,OROMORO  31°,Bottiglia vetro mignon da 50 cl,3.69,4
124,CP40038,OROMORO 31°,Bottiglia 200 ml,7.38,4
124,CP40039,OROMORO 31 °,Bottiglia 500 ml,12.3,4
124,CP40040,CHERIS 24°,Bottiglia 200 ml,7.38,4
124,CP40041,CHERIS 24 °,Bottiglia 500 ml,12.3,4
124,CP40042,"NERISSIMA 19,5°",Bottiglia vetro mignon da 50 cl,3.69,4
124,CP40043,"NERISSIMA 19,5°",Bottiglia 200 ml,7.38,4
124,CP40044,"NERISSIMA 19,5 °",Bottiglia 500 ml,12.3,4
125,CP40046,CHICCONERO 18°,Bottiglia 200 ml,8.2,4
125,CP40047,CHICCONERO 18 °,Bottiglia 500 ml,12.3,4
125,CP40049,JANDI' 18°,Bottiglia 200 ml,8.2,4
125,CP40050,JANDI' 18 °,Bottiglia 500 ml,12.3,4
125,CP40052,OROGIALLO 18°,Bottiglia 200 ml,8.2,4
125,CP40053,OROGIALLO 18 °,Bottiglia 500 ml,12.3,4
125,CP40055,MHATTO 18°,Bottiglia 200 ml,8.2,4
125,CP40056,MHATTO 18 °,Bottiglia 500 ml,12.3,4
126,CP40060,NOBILE - CREMA DI PISTACCHIO,Vasetto vetro g. 200,10,5
126,CP40062,PREZIOSO- CREMA DI PISTAC CON GRANELLA,Vasetto vetro g. 200,10,5
126,CP40063,CAFECAO,Vasetto vetro g. 200,6.82,5
126,CP40065,BLANCO,Vasetto vetro g. 200,6.82,5
123,CP40067,CAFFELATTE,Vasetto vetro g. 200,6.82,5
123,CP40069,NUT&CAO,Vasetto vetro g. 200,6.82,5
124,CP40071,DEABIONDA 25°,Bottiglia vetro mignon da 50 cl,3.69,4
124,CP40072,DEABIONDA 25°,Bottiglia 200 ml,7.38,4
124,CP40073,DEABIONDA 25°,Bottiglia 500 ml,12.3,4
124,CP40074,DEAROSSA 25°,Bottiglia vetro mignon da 50 cl,3.69,4
124,CP40075,DEAROSSA 25°,Bottiglia 200 ml,7.38,4
124,CP40076,DEAROSSA 25°,Bottiglia 500 ml,12.3,4
124,CP40077,CHERIS 24°,Bottiglia vetro mignon da 50 cl,3.69,4
124,CP40078,"NERISSIMA 19,5°",Bottiglia vetro 2 lt,28.69,4
126,CP40079,NOCCIOLA,Vasetto vetro g. 200,6.82,5
124,CP40080,DEAROSSA 25°,Bottiglia vetro 2 lt,28.69,4
124,CP40081,DEABIONDA 25°,Bottiglia vetro 2 lt,28.69,4
120,CP40108,ACETO BALSAMICO ONICE IGP INVECCHIATO,Bottiglia vetro 250 ml,27.27,5
121,CP40109,TOPPING CIOKKISSIMO,Bottiglia g. 650,7.27,5
121,CP40110,TOPPING OTTIMO,Bottiglia g. 650,7.27,5
119,CP40111,CAFFE' DECA DE-BAR,Astuccio da 18 cialde,7.38,4
119,CP40112,CHOCBON,Sacchetto g. 500,8.18,5
126,CP40116,NONNA LELLA,Vasetto vetro g. 200,6.82,5
127,CP40117,MANDORLA PURA 100%  BIO,Vasetto vetro g. 180,11.32,5
127,CP40118,NOCCIOLA  T.G.T.  BIO,Vasetto vetro g. 180,9.55,5
127,CP40119,PISTACCHIO SMERALDO  BIO,Vasetto vetro g. 180,24.27,5
126,CP40120,NONNA LELLA,Vasetto vetro g. 400,8.18,5
126,CP40121,NONNA LELLA BIO,Vasetto vetro g. 400,9.77,5
126,CP40123,BLANCO,Vasetto vetro g. 400,8.86,5
126,CP40124,CAFECAO,Vasetto vetro g. 400,8.86,5
126,CP40125,NOBILE - CREMA DI PISTACCHIO,Vasetto vetro g. 400,14.32,5
126,CP40126,NOCCIOLA,Vasetto vetro g. 400,8.86,5
126,CP40127,PREZIOSO- CREMA DI PISTACCHIO CON GRANELLA PRALINATA,Vasetto vetro g. 400,14.32,5
128,CP40133,MIELE DI ARANCIO,Vasetto vetro g. 400,9.36,5
128,CP40134,MIELE DI SULLA,Vasetto vetro g. 400,9.36,5
128,CP40135,MIELE DI EUCALIPTO,Vasetto vetro g. 400,9.82,5
128,CP40138,MIELE DI CASTAGNO,Vasetto vetro g. 400,10.55,5
128,CP40139,MIELE D'ACACIA,Vasetto vetro g. 400,13.36,5
128,CP40137,MIELE DI LAVANDA,Vasetto vetro g. 400,10.56,5
119,CP40910,CAFFE' DECA GRANI,Sacchetto g. 500,14.75,4
129,CC00004,CIOCCOLATO AMARO 80% CACAO,Tavoletta da g. 100,4.09,5
129,CC00003,CIOCCOLATO AMARO BAOBAO,Tavoletta da g. 100,4.09,5
129,CC00006,CIOCCOLATO AMARO MELOGRANO,Tavoletta da g. 100,4.09,5
129,CC00007,CIOCCOLATO NECTAR DE COCO,Tavoletta da g. 100,4.09,5
